the t
and a
you y
that th
was w
for f
are ar
with wi
his h
they the
one o
have ha
this thi
from fr
had hd
hot ho
but b
some s
what wh
there thr
can c
const co
out ou
other ot
were we
all al
your yo
when whe
use u
word wo
how how
said sa
each e
she sh
which whi
their thei
time ti
will wl
way wa
about ab
many m
then thn
them thm
would wou
write wr
like l
these ths
her he
long lo
make ma
thing thin
see se
him hi
two tw
has has
look lk
more mo
day d
could cl
come cm
did di
sound so
most ms
number n
over ov
know k
water wat
than tha
call ca
first fi
people p
may my
down do
side si
been be
now no
find fn
any an
new ne
work wor
part pa
take ta
get g
place pl
made md
live li
where whr
after af
back bc
little lt
only onl
round r
man mn
year ye
came cam
show sho
every ev
good go
give gi
our or
under un
name nam
very v
through thro
just j
form fo
much mu
great gr
think thnk
say sy
help hl
low low
line ln
before bf
turn tu
cause cs
same sam
mean me
differ df
move mv
right ri
boy bo
old old
does ds
tell te
sentence sn
set st
three thre
want wn
air ai
well wel
also als
play pla
small sml
end end
put pu
home hm
read re
hand hn
port po
large lr
spell sp
add ad
even evn
land lan
here hr
must mus
big bi
high hg
such su
follow fl
act act
why why
ask ask
men men
change ch
went wen
light lg
kind ki
need nd
house hou
picture pi
try tr
again ag
animal ani
point pn
mother mt
world wrl
near nr
build bu
self sl
earth ea
father ft
head hea
stand sta
own own
page pg
should shl
country cn
found fou
answer ans
school sch
grow gro
study stu
still sti
learn le
plant pln
cover cv
food fod
sun sun
four four
thought tho
let let
keep ke
never nv
last lst
door dr
between bt
city ci
tree tre
cross cr
since sin
hard har
start str
might mi
story sto
saw sw
far far
draw dra
left lef
late lat
run ru
don't don
while whl
press pr
close clo
night ni
real rea
few fe
stop stp
open ope
seem sem
together tg
next nx
white wht
children chi
begin bg
got got
walk wal
example ex
ease eas
paper pae
often oft
always alwy
music msc
those thos
both bot
mark mr
book bk
letter ltr
until unt
mile ml
river rv
car car
feet fet
care care
second sec
group grp
carry cry
took tk
rain rai
eat eat
room rom
friend fri
began beg
idea i
fish fs
mountain mou
north nor
once onc
base bs
hear hear
horse hor
cut cu
sure sr
watch wtc
color clr
face fc
wood wd
main mai
enough eno
plain plai
girl gir
usual usa
young yn
ready rdy
above abo
ever evr
red red
list lis
though thg
talk tlk
bird br
soon son
body bd
dog dg
family fm
direct dir
pose pos
leave lv
song sng
measure mea
state stae
product pro
black bl
short shr
numeral num
class cla
wind win
question q
happen hp
complete com
ship shi
half hal
rock roc
order ord
fire fire
south sou
problem prb
piece pc
knew kn
pass pas
farm frm
top tp
whole whol
king kin
size sz
heard hrd
best bes
hour hour
better bet
TRUE T
during du
hundred hu
remember rem
early erl
hold hol
west wes
ground grn
interest int
reach rch
fast fas
five fv
sing sing
listen list
six sx
table tab
travel tra
less les
morning mrn
ten tn
simple sim
several sv
vowel vw
toward tow
war war
lay ly
against agi
pattern pat
slow slo
center ce
love lov
person pe
money mon
serve ser
appear apr
road roa
map mp
science sci
rule rul
govern gv
pull pul
cold cld
notice not
voice voi
fall fal
power pw
town twn
fine fin
certain cer
fly fly
unit uni
lead ld
dark drk
machine mch
note note
wait wai
plan plan
figure fg
star star
box bx
noun nou
field fie
rest rest
correct crt
able abl
pound pou
done done
beauty bea
drive drv
stood std
contain cnt
front fro
teach tc
week wk
final fnl
gave gav
green gre
quick qu
develop de
sleep slp
warm wrm
free fre
minute min
strong stro
special spe
mind mnd
behind bh
clear cle
tail tai
produce prd
fact fac
inch inc
lot lot
nothing noth
course cou
stay sty
wheel whel
full fu
force frc
func fun
function fnc
blue blu
object obj
decide dc
surface sur
deep dp
island isla
yet yt
busy bus
test tes
record rcd
boat boat
common cmn
gold gol
possible psb
plane plane
age age
wonder wnd
laugh lau
thousand thou
ago ago
ran ran
check che
game gm
shape shp
yes yes
brought bro
heat heat
snow snw
bed bed
bring bri
perhaps per
fill fil
weight wg
language lng
among amo
